日期,期货价,现货价,价差,收益率,合约
2020-10-09,410.9,404.1,6.8,2.456817619,AU2106
2020-10-12,415.64,408.5,7.14,2.58286711,AU2106
2020-10-13,414.52,406.86,7.66,2.793454052,AU2106
2020-10-14,409.78,402.37,7.41,2.743591161,AU2106
2020-10-15,409.14,401.91,7.23,2.690992723,AU2106
2020-10-16,410.7,403.5,7.2,2.680251503,AU2106
2020-10-19,410.56,403.62,6.94,2.614980262,AU2106
2020-10-20,409.34,401.97,7.37,2.80006949,AU2106
2020-10-21,410.24,403.65,6.59,2.503781148,AU2106
2020-10-22,410.68,403.65,7.03,2.682223027,AU2106
2020-10-23,409.46,402.39,7.07,2.717397027,AU2106
2020-10-26,407.56,400.45,7.11,2.781366671,AU2106
2020-10-27,411.4,403.95,7.45,2.901573257,AU2106
2020-10-28,411.5,404.35,7.15,2.794019797,AU2106
2020-10-29,405.8,398.92,6.88,2.736954996,AU2106
2020-10-30,403.26,396.3,6.96,2.799255559,AU2106
2020-11-02,407,399.5,7.5,3.031997962,AU2106
2020-11-03,408.86,401.42,7.44,3.006659691,AU2106
2020-11-04,410.54,403.06,7.48,3.023964883,AU2106
2020-11-05,410.36,402.96,7.4,3.005784103,AU2106
2020-11-06,414.38,407.05,7.33,2.960711602,AU2106
2020-11-09,413.7,406.5,7.2,2.95202952,AU2106
2020-11-10,402.86,395.8,7.06,2.986519,AU2106
2020-11-11,401.7,394.65,7.05,3.00476243,AU2106
2020-11-12,400.92,394,6.92,2.967898101,AU2106
2020-11-13,402.92,395.7,7.22,3.097601542,AU2106
2020-11-16,402.52,395.49,7.03,3.060390335,AU2106
2020-11-17,402.16,395,7.16,3.13564101,AU2106
2020-11-18,398.98,392.58,6.4,2.833514067,AU2106
2020-11-19,397.32,391.04,6.28,2.80469111,AU2106
2020-11-20,397.48,391.12,6.36,2.853491748,AU2106
2020-11-23,397.88,391.6,6.28,2.855327736,AU2106
2020-11-24,388.4,382.3,6.1,2.854882471,AU2106
2020-11-25,384,378.49,5.51,2.617544151,AU2106
2020-11-26,384.6,378.68,5.92,2.82482035,AU2106
2020-11-27,384.56,378.78,5.78,2.771006891,AU2106
2020-11-30,374.6,369.44,5.16,2.574740475,AU2106
2020-12-01,377.38,372.01,5.37,2.674522832,AU2106
2020-12-02,382.9,377.4,5.5,2.713923407,AU2106
2020-12-03,387.06,381.55,5.51,2.703076856,AU2106
2020-12-04,387.46,382.2,5.26,2.589322803,AU2106
2020-12-07,386.54,381.59,4.95,2.47894968,AU2106
2020-12-08,392,386.75,5.25,2.607763753,AU2106
2020-12-09,389.94,384.85,5.09,2.554214416,AU2106
2020-12-10,386.1,380.94,5.16,2.62983281,AU2106
2020-12-11,385.7,380.74,4.96,2.542754484,AU2106
2020-12-14,385.76,380.45,5.31,2.768674967,AU2106
2020-12-15,388.72,383.2,5.52,2.873130497,AU2106
2020-12-16,391.4,385.85,5.55,2.884668785,AU2106
2020-12-17,393.52,388.08,5.44,2.826779465,AU2106
2020-12-18,396.4,390.6,5.8,3.011037151,AU2106
2020-12-21,401.34,395.88,5.46,2.844124996,AU2106
2020-12-22,395.5,389.91,5.59,2.973224007,AU2106
2020-12-23,394.46,388.72,5.74,3.079851821,AU2106
2020-12-24,395.78,390.12,5.66,3.04341959,AU2106
2020-12-25,397.78,391.76,6.02,3.242075778,AU2106
2020-12-28,398.2,392.42,5.78,3.162428011,AU2106
2020-12-29,396.18,390.48,5.7,3.152696908,AU2106
2020-12-30,396.02,390.22,5.8,3.229252851,AU2106
2020-12-31,397.6,392.22,5.8,3.232024554,AU2106
2021-01-04,402.38,397.24,5.8,3.26949201,AU2106
2021-01-05,404.4,399.7,4.67,2.632452735,AU2106
2021-01-06,404.9,400.43,4.47,2.530742185,AU2106
2021-01-07,401.32,397.51,3.81,2.186501597,AU2106
2021-01-08,398,394.57,3.43,1.995564633,AU2106
