代码,名称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),成交额(百万),成交量(股)
000905.SH,中证500,2004-12-31,1000,1000,1000,1000,0,0
000905.SH,中证500,2005-01-04,996.68,996.68,984.8,986.93,1329.19,232376200
000905.SH,中证500,2005-01-05,986.57,1008.86,985.68,1003.63,1919.86,348610100
000905.SH,中证500,2005-01-06,1003.49,1003.49,990.79,994.6,1629.22,293390600
000905.SH,中证500,2005-01-07,993.43,1009,990.45,997.61,1906.53,339162700
000905.SH,中证500,2005-01-10,996.93,1006.46,993.12,1006.34,1650.22,294940500
000905.SH,中证500,2005-01-11,1006.21,1009.5,999.86,1008.34,1778.5,313611500
000905.SH,中证500,2005-01-12,1008.01,1008.74,998.36,1008.62,1825.64,319639400
000905.SH,中证500,2005-01-13,1008.1,1014.84,1005.35,1013.07,2716.83,471573400
000905.SH,中证500,2005-01-14,1012.7,1019.48,999.27,1000.17,2284.64,401693700
000905.SH,中证500,2005-01-17,990.99,991.02,974.33,977.52,2418.65,435860300
000905.SH,中证500,2005-01-18,977.6,991.84,974.15,991.42,2523.67,451613300
000905.SH,中证500,2005-01-19,991.29,991.29,981.23,986.24,2304.57,425525000
000905.SH,中证500,2005-01-20,983.2,983.2,966.89,972.46,2588.99,465204900
000905.SH,中证500,2005-01-21,971.5,989.72,951.43,988.52,3412.34,618525600
000905.SH,中证500,2005-01-24,1009.95,1009.95,998.37,1008.18,4105.83,732335500
000905.SH,中证500,2005-01-25,1006,1006,989.95,999.55,2651.19,469480400
000905.SH,中证500,2005-01-26,997.64,997.64,985.67,987.96,2238.63,411390100
000905.SH,中证500,2005-01-27,986.15,986.15,970.35,971.37,2214.82,412321400
000905.SH,中证500,2005-01-28,971.37,971.94,949.11,952.41,2106.04,407237300
000905.SH,中证500,2005-01-31,948.44,948.44,921.58,922.65,2058.94,409509900
000905.SH,中证500,2005-02-01,919.8,929.69,911.93,913.33,2076.6,419974600
000905.SH,中证500,2005-02-02,913.03,964.42,913.03,964.24,3522.83,655356600
000905.SH,中证500,2005-02-03,963.75,967.94,944.76,945.31,3476.53,637130100
000905.SH,中证500,2005-02-04,944.45,963.81,943.47,962.03,2874.29,519301400
000905.SH,中证500,2005-02-16,967.43,979.3,965.94,972.34,2555.29,469332300
000905.SH,中证500,2005-02-17,971.84,977.44,964.32,977.27,2081.89,403195900
000905.SH,中证500,2005-02-18,977.12,977.12,964.55,964.77,2134.9,411281200
000905.SH,中证500,2005-02-21,965,981.89,964.47,981.82,2568.58,476520300
000905.SH,中证500,2005-02-22,982.42,1008.67,980.51,1007.69,5328.31,957578900
000905.SH,中证500,2005-02-23,1008.29,1023.33,1002.8,1019.26,5822.77,1020182300
000905.SH,中证500,2005-02-24,1018.29,1024.87,1012.45,1024.45,4874.68,868323300
000905.SH,中证500,2005-02-25,1024.57,1035.47,1023.74,1024.12,5608.39,965076100
000905.SH,中证500,2005-02-28,1023.19,1026.04,1014.94,1020.85,4174.61,702805200
000905.SH,中证500,2005-03-01,1020.6,1023.96,1011.56,1021.16,3803.21,667563700
000905.SH,中证500,2005-03-02,1021.36,1028.33,1005.34,1006.15,4197.82,745797100
000905.SH,中证500,2005-03-03,1004.1,1011.7,996.36,1011.29,2991.53,537249400
000905.SH,中证500,2005-03-04,1011.2,1012.67,1001.85,1003.21,2551.6,452519000
000905.SH,中证500,2005-03-07,1004.34,1008.36,1001.86,1006.95,2595.51,447514100
000905.SH,中证500,2005-03-08,1007.68,1029.46,1007.68,1029.46,4502.18,718700800
