Time,FR007_5Y,2Y,3Y,5Y
2019-01-02,2.8575,2.6167,2.7859,2.9466
2019-01-03,2.8502,2.6233,2.7776,2.8965
2019-01-04,2.8736,2.6069,2.7922,2.885
2019-01-07,2.8524,2.5672,2.7917,2.9303
2019-01-08,2.8292,2.5222,2.753,2.8796
2019-01-09,2.8275,2.5421,2.7604,2.8745
2019-01-10,2.8588,2.539,2.7736,2.8954
2019-01-11,2.8324,2.575,2.792,2.91
2019-01-14,2.835,2.5861,2.7927,2.9496
2019-01-15,2.8236,2.5951,2.7922,2.9484
2019-01-16,2.7712,2.5212,2.7457,2.9047
2019-01-17,2.7675,2.4901,2.6873,2.8983
2019-01-18,2.8231,2.4979,2.7061,2.941
2019-01-21,2.843,2.5625,2.7202,2.9499
2019-01-22,2.8448,2.5358,2.7225,2.9437
2019-01-23,2.855,2.5499,2.7326,2.9258
2019-01-24,2.8538,2.5457,2.7339,2.9268
2019-01-25,2.8773,2.5358,2.7497,2.9475
2019-01-28,2.8663,2.6435,2.7373,2.9635
2019-01-29,2.8425,2.634,2.6983,2.9403
2019-01-30,2.8309,2.6099,2.6807,2.9207
2019-01-31,2.8425,2.5962,2.6885,2.8943
2019-02-01,2.8175,2.5824,2.6874,2.9006
2019-02-02,2.8188,2.5738,2.6825,2.8907
2019-02-03,2.8188,2.5726,2.6805,2.8923
2019-02-11,2.8002,2.5567,2.6722,2.8754
2019-02-12,2.8063,2.5543,2.6493,2.8643
2019-02-13,2.8065,2.5461,2.6424,2.8746
2019-02-14,2.816,2.5515,2.6631,2.8779
2019-02-15,2.8163,2.553,2.6533,2.8794
2019-02-18,2.86,2.5541,2.6732,2.909
2019-02-19,2.854,2.5555,2.6732,2.9145
2019-02-20,2.8487,2.4943,2.6932,2.9063
2019-02-21,2.8609,2.5331,2.6895,2.919
2019-02-22,2.8858,2.5256,2.7013,2.9253
2019-02-25,2.9475,2.557,2.7331,2.9956
2019-02-26,2.9483,2.5728,2.7708,3.0473
