Time,FR007:1Y,FR007:2Y,FR007:3Y,FR007:5Y,FR007:7Y,FR007:10Y,国债:1Y,国债:2Y,国债:3Y,国债:5Y,国债:7Y,国债:10Y,国开:1Y,国开:2Y,国开:3Y,国开:5Y,国开:7Y,国开:10Y,口行:1Y,口行:2Y,口行:3Y,口行:5Y,口行:7Y,口行:10Y
2012-05-21,2.7653,2.8022,2.8692,3.0289,3.1235,3.1612,2.4317,2.5533,2.6672,2.8367,3.2076,3.3866,2.948,3.214,3.3981,3.6421,3.8641,4.0988,2.948,3.214,3.3981,3.6421,3.8641,4.0988
2012-05-22,2.8264,2.8556,2.9266,3.0674,3.1445,3.1817,2.3817,2.5606,2.6383,2.8442,3.2245,3.3948,2.8564,3.2147,3.3783,3.6645,3.8728,4.1188,2.8564,3.2147,3.3783,3.6645,3.8728,4.1188
2012-05-23,2.7196,2.7614,2.8345,3.0052,3.0963,3.1334,2.3517,2.5603,2.6412,2.8404,3.2151,3.3825,2.8756,3.2126,3.3996,3.6583,3.8762,4.1088,2.8756,3.2126,3.3996,3.6583,3.8762,4.1088
2012-05-24,2.4897,2.5192,2.5771,2.7902,2.9269,2.965,2.261,2.4746,2.4928,2.7346,3.1718,3.3619,2.8049,3.1681,3.3144,3.6062,3.8391,4.0795,2.8049,3.1681,3.3144,3.6062,3.8391,4.0795
2012-05-25,2.5028,2.5438,2.6177,2.8085,2.9168,2.9635,2.2347,2.4184,2.4544,2.6454,3.1186,3.3019,2.7143,3.1277,3.2268,3.5042,3.7529,4.0261,2.7143,3.1277,3.2268,3.5042,3.7529,4.0261
2012-05-28,2.5695,2.6145,2.7002,2.8834,2.9752,3.0284,2.25,2.4134,2.4502,2.6878,3.1681,3.3418,2.7313,3.1548,3.2954,3.556,3.7611,4.0089,2.7313,3.1548,3.2954,3.556,3.7611,4.0089
2012-05-29,2.61,2.6446,2.7198,2.9023,2.9894,3.041,2.25,2.4253,2.4498,2.7335,3.1825,3.3718,2.7658,3.1819,3.3371,3.6096,3.8019,4.0725,2.7658,3.1819,3.3371,3.6096,3.8019,4.0725
2012-05-30,2.5574,2.6058,2.6827,2.8673,2.9633,3.0138,2.2534,2.4346,2.5089,2.78,3.2002,3.3766,2.7389,3.1996,3.3612,3.5985,3.8031,4.0842,2.7389,3.1996,3.3612,3.5985,3.8031,4.0842
2012-05-31,2.4567,2.4916,2.5803,2.7679,2.8732,2.9247,2.2307,2.4131,2.4454,2.796,3.1521,3.3443,2.7098,3.1774,3.3041,3.569,3.7997,4.0742,2.7098,3.1774,3.3041,3.569,3.7997,4.0742
2012-06-01,2.4263,2.4777,2.5538,2.7477,2.8537,2.9113,2.2042,2.3707,2.4178,2.8199,3.1493,3.3416,2.7157,3.1574,3.2881,3.5829,3.7701,4.0705,2.7157,3.1574,3.2881,3.5829,3.7701,4.0705
